From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	SUPFAM	Pfam	InterPro
W4JX79	W4JX79	reviewed	PROS_HETIT	Delta(6)-protoilludene synthase HETIRDRAFT_454193 (EC 4.2.3.135) (Sesquiterpene synthase HETIRDRAFT_454193) (Terpene cyclase HETIRDRAFT_454193)	HETIRDRAFT_454193	Heterobasidion irregulare (strain TC 32-1)	345	SSF48576;	PF19086;	IPR008949;IPR001005;IPR034686;IPR050225;
W0FFD7	W0FFD7	reviewed	DS_PERHD	(-)-drimenol synthase (PhDS) (EC 4.2.3.194) (Drimenol cyclase) (Sesquiterpene synthase)		Persicaria hydropiper (Marshpepper knotweed) (Polygonum hydropiper)	559	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
U5Y4T6	U5Y4T6	unreviewed	U5Y4T6_ACHMI	Beta-caryophyllene synthase	CAR	Achillea millefolium (Common yarrow) (Achillea lanulosa)	548	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
U5PZT6	U5PZT6	reviewed	TPS8_HEDCO	Monoterpene synthase 8, chloroplastic (HcTPS8) (Alpha-bergamotene synthase) (EC 4.2.3.81) (Alpha-curcumene synthase) (EC 4.2.3.-) (Beta-bisabolene synthase) (EC 4.2.3.55) (Beta-farnesene synthase) (EC 4.2.3.47) (Beta-sesquiphellandrene synthase) (EC 4.2.3.123) (Cis-alpha-bisabolene synthase) (EC 4.2.3.38) (Linalool synthase) (EC 4.2.3.25, EC 4.2.3.26)	TPS8	Hedychium coronarium (White butterfly ginger-lily)	591	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
U5N1F1	U5N1F1	unreviewed	U5N1F1_GOSHI	Terpene synthase	TPS2	Gossypium hirsutum (Upland cotton) (Gossypium mexicanum)	559	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
U5N0S4	U5N0S4	unreviewed	U5N0S4_GOSHI	Alpha-pinene synthase (Terpene synthase)	TPS3 LOC107939025 TPS2	Gossypium hirsutum (Upland cotton) (Gossypium mexicanum)	595	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
U3LW50	U3LW50	reviewed	CADS_LAVAN	Tau-cadinol synthase (LaCADS) (EC 4.2.3.173) ((+)-gamma-cadinene synthase) (Gamma-cadinene synthase) (EC 4.2.3.92)	CADS	Lavandula angustifolia (Lavender)	555	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
U3LVZ7	U3LVZ7	reviewed	CARS_LAVAN	Beta-caryophyllene synthase (LaCARS) (EC 4.2.3.57) ((-)-beta-caryophyllene synthase)	CARS	Lavandula angustifolia (Lavender)	548	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
U3LVL5	U3LVL5	reviewed	GERDS_LAVAN	Germacrene D synthase (LaGERDS) (EC 4.2.3.75) ((-)-germacrene D synthase) (Bicyclogermacrene synthase) (EC 4.2.3.100)	GERDS	Lavandula angustifolia (Lavender)	549	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
U3KYL2	U3KYL2	reviewed	DS_VALOF	(-)-drimenol synthase (VoDMS) (EC 4.2.3.194) (Drimenol cyclase) (Sesquiterpene synthase 3) (VoTPS3)		Valeriana officinalis (Valerian) (Garden heliotrope)	556	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
T2HPZ3	T2HPZ3	unreviewed	T2HPZ3_ARTAB	Beta-caryophyllene synthase	QHS	Artemisia absinthium (Absinth wormwood)	548	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
T1WGD9	T1WGD9	unreviewed	T1WGD9_LAVIN	9-epi-caryophyllene synthase	CPS	Lavandula x intermedia (Lavandin) (Lavandula angustifolia x Lavandula latifolia)	539	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
T1RRS0	T1RRS0	reviewed	GEAS_LAVST	Germacrene A synthase (LsGEAS) (EC 4.2.3.-) (Beta-elemene synthase) (EC 4.2.3.-)	GEAS	Lavandula stoechas (Butterfly lavender)	542	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
T1RRR9	T1RRR9	reviewed	FENS_LAVPL	(-)-endo-fenchol synthase, chloroplastic (Alpha fenchol synthase) (LpFENS) (EC 4.2.3.10) (Alpha pinene synthase) (EC 4.2.3.-) (Limonene synthase) (EC 4.2.3.-)	FENS	Lavandula pedunculata subsp. lusitanica (French lavender)	594	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
T1RRJ6	T1RRJ6	reviewed	GEAS_LAVVI	Germacrene A synthase (LvGEAS) (EC 4.2.3.-) (Beta-elemene synthase) (EC 4.2.3.-)	GEAS	Lavandula viridis (Green lavender)	543	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
T1RRJ4	T1RRJ4	reviewed	FENS_LAVST	(-)-endo-fenchol synthase, chloroplastic (Alpha fenchol synthase) (LsFENS) (EC 4.2.3.10) (Alpha pinene synthase) (EC 4.2.3.-) (Limonene synthase) (EC 4.2.3.-)	FENS	Lavandula stoechas (Butterfly lavender)	594	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
T1RRI8	T1RRI8	reviewed	PINS_LAVVI	Alpha pinene synthase, chloroplastic (LvPINS) (EC 4.2.3.-)	PINS	Lavandula viridis (Green lavender)	600	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
T1RRI5	T1RRI5	reviewed	GEAS_LAVPL	Germacrene A synthase (LpGEAS) (EC 4.2.3.-) (Beta-elemene synthase) (EC 4.2.3.-)	GEAS	Lavandula pedunculata subsp. lusitanica (French lavender)	547	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
T1RR72	T1RR72	reviewed	FENS_LAVVI	(-)-endo-fenchol synthase, chloroplastic (Alpha fenchol synthase) (LvFENS) (EC 4.2.3.10) (Alpha pinene synthase) (EC 4.2.3.-) (Limonene synthase) (EC 4.2.3.-)	FENS	Lavandula viridis (Green lavender)	594	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
T1RR71	T1RR71	reviewed	PINS_LAVPL	Alpha pinene synthase, chloroplastic (LpPINS) (EC 4.2.3.-)	PINS	Lavandula pedunculata subsp. lusitanica (French lavender)	600	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
S0ENM8	S0ENM8	reviewed	GUDIS_GIBF5	Inactive (1R,4R,5S)-(-)-guaia-6,10(14)-diene synthase	STC5 FFUJ_11739	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)	401	SSF48576;	PF19086;	IPR008949;IPR050225;
S0EGZ9	S0EGZ9	reviewed	FFSC6_GIBF5	Terpene cyclase 6 (EC 4.2.3.-) (Sesquiterpene synthase 6)	Ffsc6 FFUJ_10353	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)	371	SSF48576;	PF19086;	IPR008949;
S0ECT9	S0ECT9	reviewed	FFSC4_GIBF5	Terpene cyclase 4 (EC 4.2.3.-) (Sesquiterpene synthase 4)	Ffsc4 FFUJ_12585	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)	365	SSF48576;	PF19086;	IPR008949;IPR034686;IPR050225;
S0EA85	S0EA85	reviewed	GA6_GIBF5	Bifunctional ent-kaurene synthase (EC 4.2.3.19) (EC 5.5.1.13) (CPS/KS) (Ent-copalyl diphosphate synthase) (Ent-kaur-16-ene synthase) (Gibberellin cluster-kaurene synthase)	CPS/KS FFUJ_14336	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)	952	SSF48239;		IPR017057;IPR050148;IPR008930;
S0E627	S0E627	reviewed	GA5_GIBF5	Geranylgeranyl pyrophosphate synthase 2 (GGPP synthase 2) (GGPPSase 2) (GGS2) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10) (Gibberellin cluster GGPP synthase)	GGS2 FFUJ_14335	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)	393	SSF48576;	PF00348;	IPR008949;IPR000092;IPR033749;
S0DX56	S0DX56	reviewed	EREMS_GIBF5	(+)-eremophilene synthase (EC 4.2.3.164) (Sesquiterpene cyclase) (Terpene synthase) (Type I terpene cyclase)	STC3 FFUJ_04067	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)	357	SSF48576;	PF19086;	IPR008949;IPR034686;IPR050225;
R9WSX5	R9WSX5	unreviewed	R9WSX5_TANCI	Germacrene A synthase		Tanacetum cinerariifolium (Dalmatian daisy) (Chrysanthemum cinerariifolium)	561	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9W377	R9W377	unreviewed	R9W377_MENSP	Limonene synthase	LS	Mentha spicata (Spearmint)	600	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9UPX9	R9UPX9	unreviewed	R9UPX9_9ASTR	Labda-13-en-8-ol diphosphate synthase		Grindelia hirsutula	765	SSF48239;SSF48576;	PF01397;	IPR008949;IPR050148;IPR001906;IPR036965;IPR008930;
R9UPX6	R9UPX6	unreviewed	R9UPX6_EUPPE	Ent-kaurene synthase		Euphorbia peplus (Petty spurge)	783	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9UM72	R9UM72	unreviewed	R9UM72_9ASTR	Manoyl oxide synthase		Grindelia hirsutula	818	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMZ0	R9QMZ0	reviewed	ATERP_PINCO	Alpha terpineol synthase, chloroplastic (EC 4.2.3.111) ((-)-sabinene synthase, chloroplastic) (EC 4.2.3.109) (1,8-cineole synthase, chloroplastic) (EC 4.2.3.108) (Myrcene synthase, chloroplastic) (EC 4.2.3.15) (Terpene synthase 1,8cin) (PcTPS-1,8cin) (Terpene synthase alphaterp) (PcTPS-alphaterp)	TPS-1,8cin TPS-Aterp	Pinus contorta (Shore pine) (Lodgepole pine)	616	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMY9	R9QMY9	reviewed	SAPN1_PINBN	(-)-alpha pinene synthase 1, chloroplastic (EC 4.2.3.119) ((-)-beta pinene synthase 1, chloroplastic) (EC 4.2.3.120) (Terpene synthase (-)alphapin1) (PbTPS-(-)alphapin1)	TPS-(-)Apin1	Pinus banksiana (Jack pine) (Pinus divaricata)	629	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMY8	R9QMY8	reviewed	CAMPS_PINCO	(-)-camphene synthase, chloroplastic (EC 4.2.3.117) ((+)-alpha-pinene synthase 1, chloroplastic) (EC 4.2.3.121) ((-)-alpha-pinene synthase 1, chloroplastic) (EC 4.2.3.119) ((-)-beta-pinene synthase (-)camp/(+)alphapin1, chloroplastic) (EC 4.2.3.120) (Myrcene synthase (-)camp/(+)alphapin1, chloroplastic) (EC 4.2.3.15) (Terpene synthase (-)camp/(+)alphapin1) (PcTPS-(-)camp/(+)alphapin1) (Tricyclene synthase (-)camp/(+)alphapin1, chloroplastic) (EC 4.2.3.105)	TPS-(-)camp/(+)Apin1 TPS-(-)camp	Pinus contorta (Shore pine) (Lodgepole pine)	619	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMW8	R9QMW8	reviewed	3CAR1_PINCO	(+)-3-carene synthase 1, chloroplastic (EC 4.2.3.107) (Terpene synthase (+)3car1) (PcTPS-(+)3car1) (Terpinolene synthase (+)3car1, chloroplastic) (EC 4.2.3.113)	TPS-(+)3car1	Pinus contorta (Shore pine) (Lodgepole pine)	626	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMW7	R9QMW7	reviewed	BPHL1_PINBN	(-)-beta-phellandrene synthase 1, chloroplastic (EC 4.2.3.52) (Terpene synthase (-)betaphell1) (PbTPS-(-)betaphell1)	TPS-(-)Bphell1	Pinus banksiana (Jack pine) (Pinus divaricata)	621	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMW5	R9QMW5	reviewed	SBPN2_PINBN	(-)-beta-pinene synthase 2, chloroplastic (EC 4.2.3.120) ((-)-alpha-pinene synthase (-)betapin2, chloroplastic) (EC 4.2.3.119) (Terpene synthase (-)betapin2) (PbTPS-(-)betapin2)	TPS-(-)Bpin2	Pinus banksiana (Jack pine) (Pinus divaricata)	627	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMW4	R9QMW4	reviewed	3CAR1_PINBN	(+)-3-carene synthase 1, chloroplastic (EC 4.2.3.107) (Terpene synthase (+)3car1) (PbTPS-(+)3car1) (Terpinolene synthase (+)3car1, chloroplastic) (EC 4.2.3.113)	TPS-(+)3car1	Pinus banksiana (Jack pine) (Pinus divaricata)	626	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMW3	R9QMW3	reviewed	BPHL2_PINCO	(-)-beta-phellandrene synthase 2, chloroplastic (EC 4.2.3.52) (Terpene synthase (-)betaphell2) (PcTPS-(-)betaphell2)	TPS-(-)Bphell2	Pinus contorta (Shore pine) (Lodgepole pine)	624	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMW2	R9QMW2	reviewed	RAPN1_PINCO	(+)-alpha pinene synthase 1, chloroplastic (EC 4.2.3.121) (Terpene synthase (+)alphapin1) (PcTPS-(+)alphapin1)	TPS-(+)Apin1	Pinus contorta (Shore pine) (Lodgepole pine)	628	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMW1	R9QMW1	reviewed	SPIN1_PINBN	(-)-alpha-pinene synthase 1, chloroplastic (EC 4.2.3.119) ((-)-beta-phellandrene synthase (-)alpha/betapin1, chloroplastic) (EC 4.2.3.52) ((-)-beta-pinene synthase 1, chloroplastic) (EC 4.2.3.120) (Terpene synthase (-)alpha/betapin1) (PbTPS-(-)alpha/betapin1)	TPS-(-)A/Bpin1	Pinus banksiana (Jack pine) (Pinus divaricata)	623	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMR6	R9QMR6	reviewed	3CAR2_PINBN	(+)-3-carene synthase 2, chloroplastic (EC 4.2.3.107) (Terpene synthase (+)3car2) (PbTPS-(+)3car2)	TPS-(+)3car2	Pinus banksiana (Jack pine) (Pinus divaricata)	626	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMR5	R9QMR5	reviewed	ATERP_PINBN	Alpha terpineol synthase, chloroplastic (EC 4.2.3.111) (EC 4.2.3.112) ((-)-limonene synthase, chloroplastic) (EC 4.2.3.16) (Geraniol synthase, chloroplastic) (EC 3.1.7.11) (Terpene synthase alphaterp) (PbTPS-alphaterp) (Terpinolene synthase, chloroplastic) (EC 4.2.3.113)	TPS-Aterp	Pinus banksiana (Jack pine) (Pinus divaricata)	626	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMR4	R9QMR4	reviewed	BPHL1_PINCO	(-)-beta-phellandrene synthase 1, chloroplastic (EC 4.2.3.52) (Terpene synthase (-)betaphell1) (PcTPS-(-)betaphell1)	TPS-(-)Bphell1	Pinus contorta (Shore pine) (Lodgepole pine)	621	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMR3	R9QMR3	reviewed	SAPN1_PINCO	(-)-alpha pinene synthase 1, chloroplastic (EC 4.2.3.119) ((-)-beta pinene synthase 1, chloroplastic) (EC 4.2.3.120) (Terpene synthase (-)alphapin1) (PcTPS-(-)alphapin1)	TPS-(-)Apin1	Pinus contorta (Shore pine) (Lodgepole pine)	629	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMR1	R9QMR1	reviewed	RAPN1_PINBN	(+)-alpha pinene synthase 1, chloroplastic (EC 4.2.3.121) (Terpene synthase (+)alphapin1) (PbTPS-(+)alphapin1)	TPS-(+)Apin1	Pinus banksiana (Jack pine) (Pinus divaricata)	628	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMR0	R9QMR0	reviewed	SBPN1_PINBN	(-)-beta-pinene synthase 1, chloroplastic (EC 4.2.3.120) ((-)-alpha-pinene synthase (-)betapin1, chloroplastic) (EC 4.2.3.119) (Terpene synthase (-)betapin1) (PbTPS-(-)betapin1)	TPS-(-)Bpin1	Pinus banksiana (Jack pine) (Pinus divaricata)	628	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R9QMQ9	R9QMQ9	reviewed	SBPN1_PINCO	(-)-beta-pinene synthase 1, chloroplastic (EC 4.2.3.120) ((-)-alpha-pinene synthase (-)betapin1, chloroplastic) (EC 4.2.3.119) (Terpene synthase (-)betapin1) (PcTPS-(-)betapin1)	TPS-(-)Bpin1	Pinus contorta (Shore pine) (Lodgepole pine)	627	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR050148;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R4YZC3	R4YZC3	reviewed	TPS3_COFAR	Linalool synthase TPS3, chloroplastic (EC 4.2.3.-) (Cis-ocimene synthase TPS2, chloroplastic) (EC 4.2.3.-) (Myrcene synthase TPS3, chloroplastic) (EC 4.2.3.15) (Trans-ocimene synthase TPS2, chloroplastic) (EC 4.2.3.106)	TPS3 LOC113713511 LOC113713556	Coffea arabica (Arabian coffee)	596	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R4YXW8	R4YXW8	reviewed	TPS2_COFAR	Linalool synthase TPS2, chloroplastic (EC 4.2.3.-) (Cis-ocimene synthase TPS2, chloroplastic) (EC 4.2.3.-) (Myrcene synthase TPS2, chloroplastic) (EC 4.2.3.15) (Trans-ocimene synthase TPS2, chloroplastic) (EC 4.2.3.106)	TPS2 LOC113711778	Coffea arabica (Arabian coffee)	572	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R4YVJ5	A0A6P6W6H5	reviewed	TPS1_COFAR	Limonene synthase, chloroplastic (EC 4.2.3.-) (Alpha-pinene synthase, chloroplastic) (EC 4.2.3.-) (Beta-farnesene synthase, chloroplastic) (EC 4.2.3.47) (Beta-myrcene synthase, chloroplastic) (EC 4.2.3.15) (Beta-pinene synthase, chloroplastic) (EC 4.2.3.-) (Sabinene synthase, chloroplastic) (EC 4.2.3.-) (Terpinolene synthase, chloroplastic) (EC 4.2.3.113)	TPS1 LOC113729710	Coffea arabica (Arabian coffee)	606	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R4JQT5	R4JQT5	reviewed	GTPSC_THYCA	Gamma-terpinene synthase, chloroplastic (EC 4.2.3.114) (Terpene synthase 2) (TcTPS2)	TPS2	Thymus caespititius (Cretan thyme) (Origanum caespititium)	597	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R4JQS8	R4JQS2	reviewed	ATPSC_THYCA	Alpha-terpineol synthase, chloroplastic (EC 4.2.3.-) (Terpene synthase 5) (TcTPS5)	TPS5	Thymus caespititius (Cretan thyme) (Origanum caespititium)	601	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R4JQS2	R4JQS2	reviewed	ATPSC_THYCA	Alpha-terpineol synthase, chloroplastic (EC 4.2.3.-) (Terpene synthase 5) (TcTPS5)	TPS5	Thymus caespititius (Cretan thyme) (Origanum caespititium)	601	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
R4JND9	R4JND9	reviewed	GTPS3_THYCA	Gamma-terpinene synthase, chloroplastic (EC 4.2.3.114) (Terpene synthase 2) (TcTPS2)	TPS2	Thymus caespititius (Cretan thyme) (Origanum caespititium)	597	SSF48239;SSF48576;	PF01397;PF03936;	IPR008949;IPR034741;IPR044814;IPR001906;IPR036965;IPR005630;IPR008930;
