Uniprot ID,Substrate (including stereochemistry),Name of product,Class (I or II)
U3LW50,"(2E,6E)-FPP",(+)-γ-cadinene,Class I
U3LVZ7,"(2E,6E)-FPP",(−)-β-caryophyllene,Class I
U3LVL5,"(2E,6E)-FPP",(−)-germacrene D,Class I
U3LVL5,"(2E,6E)-FPP",bicyclogermacrene,Class I
U3KYL2,"(2E,6E)-FPP",drimenol,Class I
TmTC-2,"(2E,6E)-FPP",α-muuroladiene,Class I
TmTC-1,"(2E,6E,10E)-GGPP",cembrene A,Class I
TmTC-1,"(2E,6E)-FPP",(6E)-nerolidol,Class I
TmTC-1,(2E)-GPP,linalool,Class I
T2HPZ3,"(2E,6E)-FPP",(−)-β-caryophyllene,Class I
T1WGD9,"(2E,6E)-FPP",(E)-2-epi-β-caryophyllene,Class I
T1RRS0,"(2E,6E)-FPP",(−)-germacrene A,Class I
T1RRS0,"(2E,6E)-FPP",(−)-β-elemene,Class I
T1RRR9,(2E)-GPP,α-pinene,Class I
T1RRR9,(2E)-GPP,limonene,Class I
T1RRR9,(2E)-GPP,terpinolene,Class I
T1RRR9,(2E)-GPP,β-myrcene,Class I
T1RRR9,(2E)-GPP,α-phellandrene,Class I
T1RRR9,(2E)-GPP,(−)-endo-fenchol,Class I
T1RRJ6,"(2E,6E)-FPP",(−)-germacrene A,Class I
T1RRJ6,"(2E,6E)-FPP",(−)-β-elemene,Class I
T1RRJ4,(2E)-GPP,(−)-endo-fenchol,Class I
T1RRJ4,(2E)-GPP,limonene,Class I
T1RRJ4,(2E)-GPP,α-pinene,Class I
T1RRJ4,(2E)-GPP,terpinolene,Class I
T1RRJ4,(2E)-GPP,α-phellandrene,Class I
T1RRJ4,(2E)-GPP,β-myrcene,Class I
T1RRI8,(2E)-GPP,α-pinene,Class I
T1RRI8,(2E)-GPP,limonene,Class I
T1RRI8,(2E)-GPP,α-phellandrene,Class I
T1RRI8,(2E)-GPP,terpinolene,Class I
T1RRI5,"(2E,6E)-FPP",(−)-germacrene A,Class I
T1RRI5,"(2E,6E)-FPP",(−)-β-elemene,Class I
T1RR72,(2E)-GPP,(−)-endo-fenchol,Class I
T1RR72,(2E)-GPP,limonene,Class I
T1RR72,(2E)-GPP,α-pinene,Class I
T1RR72,(2E)-GPP,terpinolene,Class I
T1RR72,(2E)-GPP,α-phellandrene,Class I
T1RR72,(2E)-GPP,β-myrcene,Class I
T1RR71,(2E)-GPP,α-pinene,Class I
T1RR71,(2E)-GPP,limonene,Class I
T1RR71,(2E)-GPP,α-phellandrene,Class I
T1RR71,(2E)-GPP,terpinolene,Class I
SRA.SRR18681978 (AgTS-1),"(2E,6E)-FPP",(+)-alloaromadendrene,Class I
SRA.SRR18681978 (AgTS-1),(2E)-GPP,β-myrcene,Class I
SRA.SRR18681978 (AgTS-1),(2E)-GPP,(E)-β-ocimene,Class I
SptA,"(2E,6E)-FPP","guaia-1(5),6-diene",Class I
S0ENM8,Negative,,
S0EGZ9,"(2E,6E)-FPP",(−)-α-acorenol,Class I
S0ECT9,"(2E,6E)-FPP",koraiol,Class I
S0EA85,"(2E,6E,10E)-GGPP","5β,9α,10α-labda-8(20),13-dien-15-yl diphosphate(3−)",Class II
S0EA85,ent-copalyl diphosphate,ent-kaurene,Class I
S0E627,(2E)-GPP; isopentenyl PP,"2-trans,6-trans-farnesyl diphosphate(3−)",prenyl
S0E627,dimethylallyl PP; isopentenyl PP,geranyl diphosphate(3−),prenyl
S0E627,"isopentenyl PP; (2E,6E)-FPP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
S0DX56,"(2E,6E)-FPP",(+)-eremophilene,Class I
RmTC-1,"(2E,6E,10E)-GGPP",cembrene C,Class I
RmTC-1,"(2E,6E)-FPP","(2-trans,6-trans)-farnesol",Class I
RmTC-1,(2E)-GPP,geraniol,Class I
R9WSX5,"(2E,6E)-FPP",(−)-germacrene A,Class I
R9W377,(2E)-GPP,(4S)-limonene,Class I
R9UPX9,"(2E,6E,10E)-GGPP","labd-13-en-8,15-diol",Class II
R9UPX6,ent-copalyl diphosphate,ent-kaurene,Class I
R9UM72,copal-8-ol diphosphate(3−),(13R)-manoyl oxide,Class I
R9QMZ0,(2E)-GPP,"1,8-cineole",Class I
R9QMZ0,(2E)-GPP,(S)-(−)-α-terpineol,Class I
R9QMZ0,(2E)-GPP,(−)-sabinene,Class I
R9QMZ0,(2E)-GPP,β-myrcene,Class I
R9QMY9,(2E)-GPP,(−)-α-pinene,Class I
R9QMY9,(2E)-GPP,(−)-β-pinene,Class I
R9QMY8,(2E)-GPP,(−)-camphene,Class I
R9QMY8,(2E)-GPP,(+)-α-pinene,Class I
R9QMY8,(2E)-GPP,tricyclene,Class I
R9QMY8,(2E)-GPP,(−)-α-pinene,Class I
R9QMY8,(2E)-GPP,(−)-β-pinene,Class I
R9QMY8,(2E)-GPP,β-myrcene,Class I
R9QMW8,(2E)-GPP,(+)-car-3-ene,Class I
R9QMW8,(2E)-GPP,terpinolene,Class I
R9QMW8,(2E)-GPP,(S)-(−)-α-terpineol,Class I
R9QMW7,(2E)-GPP,(−)-β-phellandrene,Class I
R9QMW5,(2E)-GPP,(−)-β-pinene,Class I
R9QMW5,(2E)-GPP,(−)-α-pinene,Class I
R9QMW4,(2E)-GPP,(+)-car-3-ene,Class I
R9QMW4,(2E)-GPP,terpinolene,Class I
R9QMW4,(2E)-GPP,α-terpineol,Class I
R9QMW4,(2E)-GPP,(S)-(−)-α-terpineol,Class I
R9QMW3,(2E)-GPP,(−)-β-phellandrene,Class I
R9QMW2,(2E)-GPP,(+)-α-pinene,Class I
R9QMW1,(2E)-GPP,(−)-α-pinene,Class I
R9QMW1,(2E)-GPP,(−)-β-pinene,Class I
R9QMR6,(2E)-GPP,(+)-car-3-ene,Class I
R9QMR6,(2E)-GPP,terpinolene,Class I
R9QMR6,(2E)-GPP,(S)-(−)-α-terpineol,Class I
R9QMR5,(2E)-GPP,α-terpineol,Class I
R9QMR5,(2E)-GPP,limonene,Class I
R9QMR5,(2E)-GPP,terpinolene,Class I
R9QMR5,(2E)-GPP,4-terpineol,Class I
R9QMR5,(2E)-GPP,(S)-(−)-α-terpineol,Class I
R9QMR5,(2E)-GPP,geraniol,Class I
R9QMR4,(2E)-GPP,(−)-β-phellandrene,Class I
R9QMR4,(2E)-GPP,(−)-α-phellandrene,Class I
R9QMR3,(2E)-GPP,(−)-α-pinene,Class I
R9QMR3,(2E)-GPP,(−)-β-pinene,Class I
R9QMR1,(2E)-GPP,(+)-α-pinene,Class I
R9QMR0,(2E)-GPP,(−)-β-pinene,Class I
R9QMR0,(2E)-GPP,(−)-α-pinene,Class I
R9QMQ9,(2E)-GPP,(−)-β-pinene,Class I
R9QMQ9,(2E)-GPP,(−)-α-pinene,Class I
R4YZC3,(2E)-GPP,linalool,Class I
R4YZC3,(2E)-GPP,β-myrcene,Class I
R4YZC3,(2E)-GPP,(Z)-β-ocimene,Class I
R4YZC3,(2E)-GPP,(E)-β-ocimene,Class I
R4YXW8,(2E)-GPP,linalool,Class I
R4YXW8,(2E)-GPP,β-myrcene,Class I
R4YXW8,(2E)-GPP,(Z)-β-ocimene,Class I
R4YXW8,(2E)-GPP,(E)-β-ocimene,Class I
R4YVJ5,(2E)-GPP,limonene,Class I
R4JQT5,(2E)-GPP,γ-terpinene,Class I
R4JQT5,(2E)-GPP,geraniol,Class I
R4JQT5,(2E)-GPP,geranial,Class I
R4JQS8,(2E)-GPP,α-terpineol,Class I
R4JQS2,(2E)-GPP,(S)-(−)-α-terpineol,Class I
R4JQS2,(2E)-GPP,limonene,Class I
R4JQS2,(2E)-GPP,sabinene,Class I
R4JQS2,(2E)-GPP,β-myrcene,Class I
R4JND9,(2E)-GPP,γ-terpinene,Class I
R4JND2,(2E)-GPP,α-terpineol,Class I
R4JJJ6,(2E)-GPP,γ-terpinene,Class I
R4JJJ1,(2E)-GPP,α-terpineol,Class I
R4JHV9,(2E)-GPP,α-terpineol,Class I
R4JHV6,(2E)-GPP,γ-terpinene,Class I
R4JGM2,(2E)-GPP,γ-terpinene,Class I
R4JGL8,(2E)-GPP,γ-terpinene,Class I
R4JGL8,(2E)-GPP,geraniol,Class I
R4JGL8,(2E)-GPP,geranial,Class I
R4I3I0,"(2E,6E)-FPP",(+)-5-epi-aristolochene,Class I
R4HEK6,NPP,nerol,Class I
Q9ZUH4,(2E)-GPP,tricyclene,Class I
Q9ZU77,dimethylallyl PP; isopentenyl PP,"2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9ZU77,"(2E,6E)-FPP; isopentenyl PP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9ZTN8,"(2E,6E,10E)-GGPP",(+)-copalyl diphosphate,Class II
Q9Y753,"(2E,6E)-FPP",squalene,prenyl
Q9XJ32,"(2E,6E)-FPP",premnaspirodiene,Class I
Q9XEI0,ent-copalyl diphosphate,ent-kaurene,Class I
Q9XEH9,ent-copalyl diphosphate,ent-kaurene,Class I
Q9X839,"(2E,6E)-FPP","(1E,4S,5E,7R)-germacra-1(10),5-dien-11-ol",Class I
Q9X839,"(2E,6E)-FPP",(−)-germacrene D,Class I
Q9WTN0,"(2E,6E)-FPP; isopentenyl PP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9UWR6,"(2E,6E,10E)-GGPP; isopentenyl PP",all-trans-pentaprenyl diphosphate(3−),prenyl
Q9UWR6,"(2E,6E)-FPP; isopentenyl PP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9UWR6,(2E)-GPP; isopentenyl PP,"2-trans,6-trans-farnesyl diphosphate(3−)",prenyl
Q9UWR6,dimethylallyl PP; isopentenyl PP,geranyl diphosphate(3−),prenyl
Q9UVY5,"(2E,6E,10E)-GGPP","5β,9α,10α-labda-8(20),13-dien-15-yl diphosphate(3−)",Class II
Q9UVY5,"(2E,6E,10E)-GGPP",ent-kaurene,Class II
Q9UR08,"(2E,6E)-FPP",(+)-aristolochene,Class I
Q9T0K1,"(2E,6E)-FPP",(Z)-γ-bisabolene,Class I
Q9T0J9,"(2E,6E)-FPP",(Z)-γ-bisabolene,Class I
Q9SYN1,"(S)-2,3-epoxysqualene",α-seco-amyrin,Class II
Q9SYN1,"(S)-2,3-epoxysqualene",β-seco-amyrin,Class II
Q9SYN1,"(S)-2,3-epoxysqualene",taraxasterol,Class II
Q9SYN1,"(S)-2,3-epoxysqualene",isomultiflorenol,Class II
Q9SXV6,"(S)-2,3-epoxysqualene",cycloartenol,Class II
Q9SW77,"(2E,6E)-FPP",(+)-δ-cadinene,Class I
Q9SW76,(2E)-GPP,(4S)-limonene,Class I
Q9SSZ2,"(S)-2,3-epoxysqualene",cycloartenol,Class II
Q9SSU8,"(2E,6E,10E)-GGPP",15-cis-phytoene,prenyl
Q9SSU5,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q9SPN1,(2E)-GPP,(R)-linalool,Class I
Q9SLW3,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q9SLW3,"(S)-2,3-epoxysqualene",lupeol,Class II
Q9SLW1,"(S)-2,3-epoxysqualene",lupeol,Class II
Q9SLW1,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q9SLW1,"(S)-2,3-epoxysqualene",lanosterol,Class II
Q9SLW0,"(S)-2,3-epoxysqualene",lanosterol,Class II
Q9SLP9,"(S)-2,3-epoxysqualene",cycloartenol,Class II
Q9SLG2,dimethylallyl PP; isopentenyl PP,"2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9SLG2,"(2E,6E)-FPP; isopentenyl PP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9SDW9,"(2E,6E)-FPP",squalene,prenyl
Q9SAK2,ent-copalyl diphosphate,ent-kaurene,Class I
Q9P885,"(2E,6E)-FPP; isopentenyl PP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9NH03,(2E)-GPP; isopentenyl PP,"2-trans,6-trans-farnesyl diphosphate(3−)",prenyl
Q9MB42,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q9M7D1,(2E)-GPP,(−)-β-phellandrene,Class I
Q9M7D0,(2E)-GPP,terpinolene,Class I
Q9M7C9,(2E)-GPP,(4S)-limonene,Class I
Q9M7C9,(2E)-GPP,(−)-α-pinene,Class I
Q9LVY2,"(S)-2,3-epoxysqualene","tirucalla-7,24-dien-3β-ol",Class II
Q9LVP7,"(2E,6E)-FPP",(+)-δ-cadinene,Class I
Q9LUE2,"(2E,6E,10E,14E)-GFPP",(+)-thalianatriene,Class I
Q9LUE1,dimethylallyl PP; isopentenyl PP,geranyl diphosphate(3−),prenyl
Q9LUE1,dimethylallyl PP; 4 isopentenyl PP,all-trans-pentaprenyl diphosphate(3−),prenyl
Q9LUE0,"(2E,6E,10E,14E)-GFPP",(−)-retigeranin B,Class I
Q9LUD9,dimethylallyl PP; isopentenyl PP,"2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9LUD9,"(2E,6E)-FPP; isopentenyl PP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9LRZ6,(2E)-GPP,sabinene,Class I
Q9LRZ6,(2E)-GPP,β-pinene,Class I
Q9LRR2,"(2E,6E,10E,14E)-GFPP",quiannulatene,Class I
Q9LRH8,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q9LRH7,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q9LRH7,"(S)-2,3-epoxysqualene",α-amyrin,Class II
Q9LLR9,"(2E,6E)-FPP",epi-cedrol,Class I
Q9LJY2,dimethylallyl PP; isopentenyl PP,"2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9LJY2,"(2E,6E)-FPP; isopentenyl PP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9LIA0,dimethylallyl PP; isopentenyl PP,"2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9LIA0,"(2E,6E)-FPP; isopentenyl PP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9LHR4,dimethylallyl PP; isopentenyl PP,"2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9LHR4,"(2E,6E)-FPP; isopentenyl PP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9K499,"(2E,6E)-FPP",(+)-epi-isozizaene,Class I
Q9HGZ6,"(2E,6E)-FPP",squalene,prenyl
Q9FZI2,"(S)-2,3-epoxysqualene","tirucalla-7,24-dien-3β-ol",Class II
Q9FXY7,"(2E,6E)-FPP",trans-β-farnesene,Class I
Q9FXV8,ent-copalyl diphosphate,ent-kaurene,Class I
Q9FV72,(2E)-GPP,(4S)-limonene,Class I
Q9FUW5,(2E)-GPP,(4R)-limonene,Class I
Q9FT37,"(2E,6E,10E)-GGPP","taxa-4,11-diene",Class I
Q9FR95,"(S)-2,3-epoxysqualene",arabidiol,Class II
Q9FQM1,"(S)-2,3-epoxysqualene",cycloartenol,Class II
Q9FQ27,"(2E,6E)-FPP","(1E,4E)-germacrene B",Class I
Q9FQ26,"(2E,6E)-FPP",(−)-germacrene D,Class I
Q9FJV8,"(S)-2,3-epoxysqualene",marneral,Class II
Q9FI37,"(S)-2,3-epoxysqualene",thalianol,Class II
Q9F1Y6,(E)-2-MeGPP,2-methylisoborneol,Class I
Q9F1V8,(E)-2-MeGPP,2-methylisoborneol,Class I
Q9C748,"(2E,6E)-FPP","(2Z,6E)-hedycaryol",Class I
Q9C5M3,"(S)-2,3-epoxysqualene","lupan-3β,20-diol",Class II
Q9C5M3,"(S)-2,3-epoxysqualene",lupeol,Class II
Q9C5M3,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q9C446,(2E)-GPP; isopentenyl PP,"2-trans,6-trans-farnesyl diphosphate(3−)",prenyl
Q9C446,dimethylallyl PP; isopentenyl PP,"2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9C446,"(2E,6E)-FPP; isopentenyl PP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q9AXM7,(2E)-GPP,(4S)-limonene,Class I
Q9AR86,dimethylallyl PP,isoprene,Class I
Q9AR67,"(2E,6E)-FPP",(+)-(R)-germacrene A,Class I
Q9AR04,"(2E,6E)-FPP","amorpha-4,11-diene",Class I
Q9AJE4,"(2E,6E,10E)-GGPP",terpentedienyl diphosphate(3−),Class II
Q9AJE3,"(2E,6E,10E)-GGPP",terpentetriene,Class II
Q96WT2,"(2E,6E,10E)-GGPP","5α,9β,10α-labda-8(20),13-dien-15-yl diphosphate(3−)",Class II
Q96WT2,9α-copalyl diphosphate,aphidicolan-16β-ol,Class I
Q96WJ0,"(S)-2,3-epoxysqualene",lanosterol,Class II
Q96376,(2E)-GPP,(S)-linalool,Class I
Q94JS8,"(2E,6E)-FPP",trans-β-farnesene,Class I
Q94ID7,(2E)-GPP; isopentenyl PP,"2-trans,6-trans-farnesyl diphosphate(3−)",prenyl
Q94ID7,dimethylallyl PP; isopentenyl PP,geranyl diphosphate(3−),prenyl
Q94ID7,"(2E,6E)-FPP; isopentenyl PP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q94G53,(2E)-GPP,(−)-β-pinene,Class I
Q948Z0,(2E)-GPP,(−)-camphene,Class I
Q948R6,"(S)-2,3-epoxysqualene",isomultiflorenol,Class II
Q947C4,"(2E,6E,10E)-GGPP","5α,9α,10β-labda-8(20),13-dien-15-yl diphosphate(3−)",Class II
Q947C4,(+)-copalyl diphosphate,"abieta-8(14),12-diene",Class I
Q941S0,"(S)-2,3-epoxysqualene",cycloartenol,Class II
Q940E7,(2E)-GPP,(4R)-limonene,Class I
Q93YV0,"(2E,6E,10E)-GGPP",geranyllinalool,Class I
Q93YA3,"(2E,6E,10E)-GGPP","taxa-4,11-diene",Class I
Q93X23,(2E)-GPP,β-myrcene,Class I
Q93X23,(2E)-GPP,limonene,Class I
Q93X23,(2E)-GPP,α-pinene,Class I
Q93X23,(2E)-GPP,sabinene,Class I
Q93X23,(2E)-GPP,β-pinene,Class I
Q93WU1,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q92250,(2E)-GPP; isopentenyl PP,"2-trans,6-trans-farnesyl diphosphate(3−)",prenyl
Q92236,"(2E,6E)-FPP; isopentenyl PP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q92235,(2E)-GPP; isopentenyl PP,"2-trans,6-trans-farnesyl diphosphate(3−)",prenyl
Q920E5,(2E)-GPP; isopentenyl PP,"2-trans,6-trans-farnesyl diphosphate(3−)",prenyl
Q8YN85,"(2E,6E)-FPP",(−)-germacrene A,Class I
Q8W3Z4,"(S)-2,3-epoxysqualene",cycloartenol,Class II
Q8W3Z3,"(S)-2,3-epoxysqualene",cycloartenol,Class II
Q8W3Z2,"(S)-2,3-epoxysqualene",lupeol,Class II
Q8W3Z1,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q8W3Z0,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q8W1D0,(2E)-GPP,(S)-(−)-α-terpineol,Class I
Q8VWY4,"(S)-2,3-epoxysqualene",cycloartenol,Class II
Q8VWY3,"(S)-2,3-epoxysqualene",lupeol,Class II
Q8VWY3,"(S)-2,3-epoxysqualene",germanicol,Class II
Q8VWY3,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q8SA63,"(2E,6E)-FPP",(−)-β-caryophyllene,Class I
Q8S948,"(2E,6E)-FPP; isopentenyl PP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q8S3A6,"(2E,6E)-FPP",(−)-germacrene A,Class I
Q8S3A5,"(2E,6E)-FPP",(−)-germacrene A,Class I
Q8RWT0,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q8RWT0,"(S)-2,3-epoxysqualene",α-amyrin,Class II
Q8RWT0,"(S)-2,3-epoxysqualene",lupeol,Class II
Q8PYS1,"(2E,6E,10E)-GGPP; isopentenyl PP",all-trans-pentaprenyl diphosphate(3−),prenyl
Q8PYS1,"(2E,6E)-FPP; isopentenyl PP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q8PW34,"isopentenyl PP; (2E,6E)-FPP","2-trans,6-trans,10-trans-geranylgeranyl diphosphate(3−)",prenyl
Q8NJA1,"(2E,6E)-FPP",trichodiene,Class I
Q8NIH6,"(2E,6E)-FPP",trichodiene,Class I
Q8NIH3,"(2E,6E)-FPP",trichodiene,Class I
Q8NIH0,"(2E,6E)-FPP",trichodiene,Class I
Q8NIG9,"(2E,6E)-FPP",trichodiene,Class I
Q8NID7,"(2E,6E)-FPP",trichodiene,Class I
Q8NIC8,"(2E,6E)-FPP",trichodiene,Class I
Q8NIC1,"(2E,6E)-FPP",trichodiene,Class I
Q8LSC3,"(2E,6E)-FPP",(+)-(R)-germacrene A,Class I
Q8LSC2,"(2E,6E)-FPP",(+)-(R)-germacrene A,Class I
Q8L5K4,(2E)-GPP,γ-terpinene,Class I
Q8L5K4,(2E)-GPP,limonene,Class I
Q8L5K4,(2E)-GPP,α-pinene,Class I
Q8L5K4,(2E)-GPP,β-pinene,Class I
Q8L5K4,(2E)-GPP,terpinolene,Class I
Q8L5K4,(2E)-GPP,α-thujene,Class I
Q8L5K4,(2E)-GPP,α-terpinene,Class I
Q8L5K4,(2E)-GPP,β-myrcene,Class I
Q8L5K4,(2E)-GPP,sabinene,Class I
Q8L5K3,(2E)-GPP,(4R)-limonene,Class I
Q8L5K2,(2E)-GPP,(−)-β-pinene,Class I
Q8L5K1,(2E)-GPP,(4R)-limonene,Class I
Q8L5J7,(2E)-GPP,(+)-car-3-ene,Class I
Q8H2B4,(2E)-GPP,(R)-linalool,Class I
Q8GUE4,(2E)-GPP,geraniol,Class I
Q8GSL7,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q8BLN5,"(S)-2,3-epoxysqualene",lanosterol,Class II
Q84ZW8,ent-copalyl diphosphate,ent-kaurene,Class I
Q84UV0,(2E)-GPP,(S)-linalool,Class I
Q84UU9,"(2E,6E,10E)-GGPP","(3E,7E)-dolabella-3,7-dien-18-ol",Class I
Q84UU4,"(2E,6E)-FPP","(1E,4E,8E)-α-humulene",Class I
Q84UU4,"(2E,6E)-FPP",(−)-β-caryophyllene,Class I
Q84SM8,(2E)-GPP,(+)-car-3-ene,Class I
Q84PE3,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q84PE1,"(S)-2,3-epoxysqualene",β-amyrin,Class II
Q84PE1,"(S)-2,3-epoxysqualene",lupeol,Class II
Q84ND0,(2E)-GPP,tricyclene,Class I
Q84NC9,(2E)-GPP,tricyclene,Class I
Q84NC8,(2E)-GPP,tricyclene,Class I
Q84LG0,"(2E,6E)-FPP",(+)-5-epi-aristolochene,Class I
Q84LF2,"(2E,6E)-FPP",(+)-5-epi-aristolochene,Class I
Q84LF1,"(2E,6E)-FPP",(+)-5-epi-aristolochene,Class I
Q84LF0,"(2E,6E)-FPP",(+)-5-epi-aristolochene,Class I
Q84KL6,(2E)-GPP,(−)-α-pinene,Class I
Q84KL5,"(2E,6E)-FPP","(E,E)-α-farnesene",Class I
Q84KL4,(2E)-GPP,(S)-(−)-α-terpineol,Class I
Q84KL3,(2E)-GPP,(+)-α-pinene,Class I
Q82RR7,"(2E,6E)-FPP",avermitilol,Class I
Q82IY4,"(2E,6E)-FPP",pentalenene,Class I
Q7Z859,"(2E,6E,10E)-GGPP",15-cis-phytoene,prenyl
Q7Z859,all-trans-lycopene,γ-carotene,Class II
Q7Z859,γ-carotene,β-carotene,Class II
Q7XYT0,(2E)-GPP; isopentenyl PP,"2-trans,6-trans-farnesyl diphosphate(3−)",prenyl
Q7XYT0,dimethylallyl PP; isopentenyl PP,geranyl diphosphate(3−),prenyl
Q7XYT0,dimethylallyl PP; isopentenyl PP,"2-trans,6-trans-farnesyl diphosphate(3−)",prenyl
